Film,Year,Awards,Nominations
7 Faces of Dr. Lao,1964,0 (1),1
7th Heaven,1927/28,3,5
8 Mile,2002,1,1
12 Years a Slave,2013,3,9
20 Feet from Stardom,2013,1,1
"20,000 Leagues Under the Sea",1954,2,3
1917,2019,3,10
2001: A Space Odyssey,1968,1,4
A Fantastic Woman,2017,1,1
A force in Readiness,1961,0 (1),0
A Girl in the River: The Price of Forgiveness,2015,1,1
A Herb Alpert and the Tijuana Brass Double Feature,1966,1,1

